,num,cause
0,0,Device Design
1,1,Software Design Change
2,2,Equipment maintenance
3,3,Process control
4,4,Process control
5,5,Unknown/Undetermined by firm
6,6,Device Design
7,7,Device Design
8,8,Component design/selection
9,9,Component design/selection
10,10,Component design/selection
11,11,Device Design
12,12,Manufacturing material removal
13,13,Component design/selection
14,14,Software Manufacturing/Software Deployment
15,15,Unknown/Undetermined by firm
16,16,Under Investigation by firm
17,17,Device Design
18,18,Device Design
19,19,Device Design
20,20,Labeling design
21,21,Component design/selection
22,22,Device Design
23,23,Other
24,24,Component design/selection
25,25,Device Design
26,26,Component design/selection
27,27,Environmental control
28,28,Employee error
29,29,Software Manufacturing/Software Deployment
30,30,Component design/selection
31,31,Component design/selection
32,32,Component design/selection
33,33,Device Design
34,34,Nonconforming Material/Component
35,35,Device Design
36,36,Material/Component Contamination
37,37,Process control
38,38,Device Design
39,39,Device Design
40,40,Device Design
41,41,Device Design
42,42,Device Design
43,43,Component design/selection
44,44,Component design/selection
45,45,No Marketing Application
46,46,Nonconforming Material/Component
47,47,Nonconforming Material/Component
48,48,Unknown/Undetermined by firm
49,49,Device Design
50,50,Device Design
51,51,Nonconforming Material/Component
52,52,Labeling design
53,53,Labeling design
54,54,Labeling design
55,55,Labeling design
56,56,Labeling design
57,57,Labeling design
58,58,Component design/selection
59,59,Component design/selection
60,60,Nonconforming Material/Component
61,61,Nonconforming Material/Component
62,62,Nonconforming Material/Component
63,63,Software design
64,64,Nonconforming Material/Component
65,65,Material/Component Contamination
66,66,Nonconforming Material/Component
67,67,Process control
68,68,Component design/selection
69,69,Process design
70,70,Device Design
71,71,Device Design
72,72,Device Design
73,73,Device Design
74,74,Device Design
75,75,Device Design
76,76,Device Design
77,77,Device Design
78,78,Employee error
79,79,Nonconforming Material/Component
80,80,Nonconforming Material/Component
81,81,Nonconforming Material/Component
82,82,Nonconforming Material/Component
83,83,Nonconforming Material/Component
84,84,Device Design
85,85,Device Design
86,86,Device Design
87,87,Device Design
88,88,Material/Component Contamination
89,89,Nonconforming Material/Component
